工作名称,工作地点,工作公司,工作薪资,工作学历,工作标签,工作经验,招聘详情页链接
云安全运营工程师（Python）,成都·武侯区·机投,软通动力信息技术集团,10-17K,大专,计算机软件,1-3年,https://www.zhipin.com/gongsi/564018fcde2fcd9f1nZ83N61GFU~.html
通用软件工程师,成都·郫都区·高新西,华为,13-26K,本科,计算机软件,3-5年,https://www.zhipin.com/gongsi/02cd05cce753437e33V50w~~.html
人工智能软件开发工程师,成都·武侯区·新会展中心,成都鼎桥,13-18K,本科,通信/网络设备,1-3年,https://www.zhipin.com/gongsi/9de0ce471e6f8c531Xd-3ti0EQ~~.html
Python高级软件工程师,成都·武侯区·新会展中心,青云,15-25K·14薪,本科,企业服务,3-5年,https://www.zhipin.com/gongsi/be8d0601af9c77410nV93tW4EQ~~.html
python开发,成都·郫都区·高新西,软通动力信息技术集团,9-14K,本科,计算机软件,1-3年,https://www.zhipin.com/gongsi/564018fcde2fcd9f1nZ83N61GFU~.html
游戏服务端开发工程师,成都,多益网络,10-15K,不限,互联网,经验不限学历,https://www.zhipin.com/gongsi/0aed2b8296e46d411HB509U~.html
Python,成都·郫都区·高新西,华为技术有限公司,8-13K,本科,计算机软件,经验不限,https://www.zhipin.com/gongsi/21124e51a5ea83a80nR80ti8.html
华为混合云开发工程师-OD,成都·郫都区·高新西,华为,12-24K,本科,计算机软件,1-3年,https://www.zhipin.com/gongsi/02cd05cce753437e33V50w~~.html
CDN后端开发工程师,成都·郫都区·高新西,软通动力信息技术集团,10-15K,大专,计算机软件,3-5年,https://www.zhipin.com/gongsi/564018fcde2fcd9f1nZ83N61GFU~.html
技术美术（TA）实习生,成都·武侯区·银泰城,多益网络,100-160元/天,不限,互联网,4天/周2个月学历,https://www.zhipin.com/gongsi/0aed2b8296e46d411HB509U~.html
Python开发工程师,成都·郫都区·高新西,华为,13-26K,本科,计算机软件,经验不限,https://www.zhipin.com/gongsi/02cd05cce753437e33V50w~~.html
Python测试工程师,成都·武侯区·创业路,成都贝尔,7-12K,本科,通信/网络设备,经验不限,https://www.zhipin.com/gongsi/bcabec3af90eea9b1XNy3tm6.html
Python开发 （华为项目）,成都·郫都区·高新西,软通动力信息技术集团,8-13K,本科,计算机软件,1-3年,https://www.zhipin.com/gongsi/564018fcde2fcd9f1nZ83N61GFU~.html
游戏服务端开发工程师,成都·武侯区·银泰城,多益网络,10-15K·14薪,不限,互联网,经验不限学历,https://www.zhipin.com/gongsi/0aed2b8296e46d411HB509U~.html
Python研发工程师,成都·武侯区·创业路,成都贝尔,9-14K,本科,通信/网络设备,3-5年,https://www.zhipin.com/gongsi/bcabec3af90eea9b1XNy3tm6.html
Python软件开发工程师,成都·郫都区·高新西,华为,13-26K·14薪,本科,计算机软件,经验不限,https://www.zhipin.com/gongsi/02cd05cce753437e33V50w~~.html
云计算开发工程师,成都·武侯区·桂溪,青云,15-30K·15薪,本科,企业服务,5-10年,https://www.zhipin.com/gongsi/be8d0601af9c77410nV93tW4EQ~~.html
软件开发工程师,成都·郫都区·高新西,华为技术有限公司,15-30K·14薪,本科,计算机软件,经验不限,https://www.zhipin.com/gongsi/21124e51a5ea83a80nR80ti8.html
Python,成都·郫都区·高新西,软通动力信息技术集团,8-13K,本科,计算机软件,1-3年,https://www.zhipin.com/gongsi/564018fcde2fcd9f1nZ83N61GFU~.html
Python后端开发工程师,成都·武侯区·桂溪,青云,15-30K·15薪,本科,企业服务,3-5年,https://www.zhipin.com/gongsi/be8d0601af9c77410nV93tW4EQ~~.html
Python开发工程师,成都·郫都区·高新西,华为技术有限公司,13-26K,本科,计算机软件,1-3年,https://www.zhipin.com/gongsi/21124e51a5ea83a80nR80ti8.html
【华为数据存储&外企德科】软件研发工程师,成都·郫都区·高新西,华为,12-24K,本科,计算机软件,经验不限,https://www.zhipin.com/gongsi/02cd05cce753437e33V50w~~.html
Python开发工程师,成都·郫都区·高新西,软通动力信息技术集团,10-15K,本科,计算机软件,1-3年,https://www.zhipin.com/gongsi/564018fcde2fcd9f1nZ83N61GFU~.html
后端开发工程师,成都·武侯区·新会展中心,青云,15-25K·14薪,不限,企业服务,经验不限学历,https://www.zhipin.com/gongsi/be8d0601af9c77410nV93tW4EQ~~.html
Python开发工程师,成都·郫都区,华为技术有限公司,15-25K,本科,计算机软件,3-5年,https://www.zhipin.com/gongsi/21124e51a5ea83a80nR80ti8.html
游戏开发工程师,成都·武侯区·新会展中心,多益网络,11-22K·13薪,不限,互联网,经验不限学历,https://www.zhipin.com/gongsi/0aed2b8296e46d411HB509U~.html
Python开发,成都·郫都区·高新西,华为,14-28K·14薪,本科,计算机软件,经验不限,https://www.zhipin.com/gongsi/02cd05cce753437e33V50w~~.html
后端开发工程师（计费/运营系统）(J10047),成都·武侯区·新会展中心,青云,11-18K·14薪,本科,企业服务,3-5年,https://www.zhipin.com/gongsi/be8d0601af9c77410nV93tW4EQ~~.html
Python,成都·郫都区·高新西,华为技术有限公司,14-16K,本科,计算机软件,1年以内,https://www.zhipin.com/gongsi/21124e51a5ea83a80nR80ti8.html
系统后端研发（Holms）(J10068),成都·武侯区·新会展中心,青云,11-20K·14薪,本科,企业服务,1-3年,https://www.zhipin.com/gongsi/be8d0601af9c77410nV93tW4EQ~~.html
通用软件开发及测试，产品解决方案类,成都·郫都区·高新西,华为,17-30K,本科,计算机软件,在校/应届,https://www.zhipin.com/gongsi/02cd05cce753437e33V50w~~.html
平台后端研发(BOSS)(J10066),成都·武侯区·新会展中心,青云,11-20K·14薪,本科,企业服务,1-3年,https://www.zhipin.com/gongsi/be8d0601af9c77410nV93tW4EQ~~.html
软件开发工程师,成都·郫都区·高新西,华为,13-26K·15薪,本科,计算机软件,3-5年,https://www.zhipin.com/gongsi/02cd05cce753437e33V50w~~.html
软件开发工程师,成都·武侯区·桂溪,青云,13-20K,本科,企业服务,5-10年,https://www.zhipin.com/gongsi/be8d0601af9c77410nV93tW4EQ~~.html
python开发工程师,成都·郫都区·高新西,华为,15-30K·14薪,本科,计算机软件,1-3年,https://www.zhipin.com/gongsi/02cd05cce753437e33V50w~~.html
存储开发工程师,成都·郫都区·高新西,华为,15-30K,本科,计算机软件,3-5年,https://www.zhipin.com/gongsi/02cd05cce753437e33V50w~~.html
Python中高级工程师,成都·郫都区,华为,20-40K,本科,计算机软件,经验不限,https://www.zhipin.com/gongsi/02cd05cce753437e33V50w~~.html
Python,成都·郫都区·高新西,华为,15-28K·14薪,本科,计算机软件,1-3年,https://www.zhipin.com/gongsi/02cd05cce753437e33V50w~~.html
华为成都急招Python软件工程师,成都·郫都区,华为,15-27K·14薪,本科,计算机软件,经验不限,https://www.zhipin.com/gongsi/02cd05cce753437e33V50w~~.html
伯\乐寻中高级python、java、c、c++软件工程师,成都·郫都区·郫县城区,华为,16-27K,本科,计算机软件,3-5年,https://www.zhipin.com/gongsi/02cd05cce753437e33V50w~~.html
Python研发工程师,郑州·管城回族区·郑州东站,浪潮信息,12-23K,不限,智能硬件,3-5年学历,https://www.zhipin.com/gongsi/bfb01db07c0d24361nJ_3tS9.html
后端高级研发工程师,郑州·管城回族区·经开区,云校,18-30K,本科,互联网,3-5年,https://www.zhipin.com/gongsi/38f5aeb0b3d950871nB93do~.html
软件开发工程师（Python）,郑州,河南航天金穗,10-15K,本科,企业服务,3-5年,https://www.zhipin.com/gongsi/56e185dc075e76270HZ60tS9FA~~.html
Python开发工程师,郑州·中原区·高新区,云智慧,10-15K·13薪,本科,企业服务,1-3年,https://www.zhipin.com/gongsi/f45a1058a4581c9d1XV_3Ni-Eg~~.html
初中级python讲师   双休,郑州·金水区·建文新世界,打造前程,6-10K,本科,互联网,3-5年,https://www.zhipin.com/gongsi/c430829e6f98328b0nFy29-8.html
自动化开发工程师,郑州·新郑市·航空港区,富士康,6-10K,本科,互联网,1-3年,https://www.zhipin.com/gongsi/9c231fb2be25afd133B82Nw~.html
后端开发高级工程师,郑州·中原区·高新区,威科姆科技,9-14K,本科,在线教育,3-5年,https://www.zhipin.com/gongsi/b9e6fbe97b3945a01nx929-1Fw~~.html
python开发工程师,郑州,牧原数字技术有限公司,12-20K,本科,计算机软件,3-5年,https://www.zhipin.com/gongsi/92f55d321541dd371nd-3tq-EQ~~.html
RPA流程开发工程师,郑州·新郑市·航空港区,富士康,7-10K,本科,互联网,1-3年,https://www.zhipin.com/gongsi/9c231fb2be25afd133B82Nw~.html
python开发工程师,郑州,河南航天金穗,10-15K·13薪,本科,企业服务,3-5年,https://www.zhipin.com/gongsi/56e185dc075e76270HZ60tS9FA~~.html
爬虫,郑州,郑州悦网信息技术,20-40K,大专,文化/体育/娱乐,3-5年,https://www.zhipin.com/gongsi/d45ff73d25e8f6831nd-3tu8EVY~.html
Python高级讲师,郑州·中原区·高新区,华软腾信信息,13-25K,大专,计算机软件,1-3年,https://www.zhipin.com/gongsi/9ba9f7ddb4afa026031_29W5Fw~~.html
云研发工程师,郑州·金水区·北龙湖,信大网御,11-20K,本科,计算机软件,5-10年,https://www.zhipin.com/gongsi/c8e34e62538b20ee1HV42N61FQ~~.html
全栈工程师,郑州·金水区·经三路沿线,科罗丽电子商务,12-16K,本科,贸易/进出口,1-3年,https://www.zhipin.com/gongsi/2f0422d170fecefd1nx809S4EFs~.html
（兼职）网络爬虫工程师,郑州·中原区·高新区,河南新华电脑,6-8K,大专,在线教育,1-3年,https://www.zhipin.com/gongsi/8c4ecf48f197b5fb0Hd43tS6.html
Python开发工程师,郑州·金水区·郑州东站,牧原肉食品有限公司,7-12K,大专,农/林/牧/渔,经验不限,https://www.zhipin.com/gongsi/a9f3511cb1bf1ebf1nZ_0tW5E1U~.html
PythonWeb开发工程师,郑州·二七区·汝河路,海纳电商,8-10K,大专,电子商务,1-3年,https://www.zhipin.com/gongsi/6b16c364541a01561nBy2dS9EQ~~.html
Python开发工程师,郑州·金水区·千盛广场,新途径教育,9-14K,本科,培训机构,3-5年,https://www.zhipin.com/gongsi/a215fda30985b5db0HV52dW6EQ~~.html
python web软件开发工程师,郑州·中原区·高新区,核桃科技,5-10K,本科,计算机软件,3-5年,https://www.zhipin.com/gongsi/8c9de1c5211043a21nZ63dm5EA~~.html
Python开发工程师,郑州·中原区·高新区,鸿唐科技,6-11K,大专,计算机软件,3-5年,https://www.zhipin.com/gongsi/9a87968d2702d4621XV52d67Ew~~.html
python工程师,郑州·中原区·五龙口,郑州爱枇杷,8-10K,大专,电子商务,1-3年,https://www.zhipin.com/gongsi/0a830174ebcf50fc03N93Ny4GQ~~.html
Python开发工程师,郑州·新郑市·沃金,木桐软件,6-10K,本科,计算机软件,1-3年,https://www.zhipin.com/gongsi/8e8cd8ab3db4402b0nJ43N29Fw~~.html
Python工程师,郑州·金水区·曼哈顿广场,天健科技,10-15K,本科,计算机服务,3-5年,https://www.zhipin.com/gongsi/5f109ebb190a4c181Xx90tW0EQ~~.html
python,郑州·中原区·高新区,郑州美讯科技有限公司,6-11K,大专,计算机软件,1-3年,https://www.zhipin.com/gongsi/0e4750bb74b8943d1nF43920FlA~.html
软件工程师,郑州·中原区·高新区,宸宇扬,7-9K,本科,互联网,1-3年,https://www.zhipin.com/gongsi/a39efcb05a1a524b1XJ52Ni9FA~~.html
Python,郑州·金水区·国贸360,世纪国科,7-8K·13薪,本科,其他行业,1-3年,https://www.zhipin.com/gongsi/3747be9eddb14bf90n173Ni9Fg~~.html
linux 系统开发工程师,郑州·中原区·碧沙岗,晟宇软件科技,5-10K,本科,计算机软件,3-5年,https://www.zhipin.com/gongsi/b5c81b8bfa07b7ca1HN53NW5GQ~~.html
python爬虫工程师,郑州·中原区·五龙口,磨料库存网,5-6K,不限,电子商务,1-3年学历,https://www.zhipin.com/gongsi/2b144f620b7d27ce1n183t-0Ew~~.html
Python青少儿编程老师,郑州·金水区·陈寨,编易教育科技,5-10K,大专,计算机软件,1-3年,https://www.zhipin.com/gongsi/330471127aeddcbe3nZ_2NW9Fg~~.html
Python开发工程师,郑州,中州智慧水利研究院,6-10K,大专,计算机软件,3-5年,https://www.zhipin.com/gongsi/951b2de7f11bf37c3nV729i5FA~~.html
Python算法工程师,郑州·金水区·北林路,河南数慧,8-12K,硕士,计算机服务,经验不限,https://www.zhipin.com/gongsi/04cef20f105284371nF43Nq1Ew~~.html
RPA流程开发工程师,郑州·新郑市·航空港区,富士康,7-10K,本科,互联网,1-3年,https://www.zhipin.com/gongsi/9c231fb2be25afd133B82Nw~.html
python开发工程师,郑州,河南航天金穗,10-15K·13薪,本科,企业服务,3-5年,https://www.zhipin.com/gongsi/56e185dc075e76270HZ60tS9FA~~.html
爬虫工程师,郑州,张仲景大药房,6-10K,本科,医疗健康,1-3年,https://www.zhipin.com/gongsi/6f7c3977bdafa8e40nx709q9.html
Python,郑州·二七区·淮河路,双象智能科技,3-6K,大专,培训机构,1-3年,https://www.zhipin.com/gongsi/0dd1452a7658d1621XR809W_Eg~~.html
软件开发工程师（Python，地点郑州）,郑州,无锡英赛软件有限公司,5-7K,本科,移动互联网,1-3年,https://www.zhipin.com/gongsi/109f938c5d678c1e1nB73Nq7FQ~~.html
python,郑州,郑州悦网信息技术,20-40K,大专,文化/体育/娱乐,3-5年,https://www.zhipin.com/gongsi/d45ff73d25e8f6831nd-3tu8EVY~.html
python开发工程师,郑州·金水区·经三路沿线,河南高校,12-16K,大专,计算机软件,3-5年,https://www.zhipin.com/gongsi/601bc1f3eb02bd4a0XZz3tq-.html
（有住宿）Python高级讲师,郑州·中牟县·白沙镇,郑州积云,14-20K,大专,培训机构,3-5年,https://www.zhipin.com/gongsi/208fea2223b2b9f703Z93N-1GA~~.html
高级Python讲师,郑州·金水区·国贸360,奇酷网络,12-20K,大专,培训机构,经验不限,https://www.zhipin.com/gongsi/5d1e9d1173bbb4621nB70t2_GFY~.html
Python后端开发工程师,郑州·中原区·高新区,站巨者,12-20K,不限,电子商务,经验不限学历,https://www.zhipin.com/gongsi/2426b451c29f7e813nZz0tq5Fw~~.html
python开发工程师,郑州·金水区·北龙湖,信大网御,12-20K,本科,计算机软件,3-5年,https://www.zhipin.com/gongsi/c8e34e62538b20ee1HV42N61FQ~~.html
（双休+五险一金）Python开发讲师,郑州·中原区·高新区,河南新华电脑,6-10K·13薪,大专,在线教育,1-3年,https://www.zhipin.com/gongsi/8c4ecf48f197b5fb0Hd43tS6.html
商务支持,郑州·管城回族区·经开区,米德少儿编程,10-15K,本科,培训机构,1-3年,https://www.zhipin.com/gongsi/6f5435e833c8adf70nV62dm6EQ~~.html
python后端开发工程师,郑州,宏欧智能,5-10K,本科,数据服务,1-3年,https://www.zhipin.com/gongsi/0137aa328f5aa8821nB739m0F1o~.html
计算机实习生,郑州·金水区·龙子湖,术本资产,50-100元/天,本科,互联网金融,5天/周3个月,https://www.zhipin.com/gongsi/3d6b40da5c28fb2e1nR92Ni4GQ~~.html
Python老师,郑州·二七区·兴华北街,志德数理化,5-9K,大专,培训机构,1-3年,https://www.zhipin.com/gongsi/a0bc707e6f39b4f61XZ729--FQ~~.html
高级Python开发工程师,郑州·金水区·北环,铁拓自动化设备,8-13K,本科,计算机软件,3-5年,https://www.zhipin.com/gongsi/21420eb302eb8cf41XV43dW8EA~~.html
python开发工程师,郑州·中原区·五龙口,郑州燎原,5-6K,大专,计算机软件,1-3年,https://www.zhipin.com/gongsi/a2286124152349691nF-0tW5Fg~~.html
少儿编程教师,郑州·中原区·高新区,优亦佳文化传媒,3-5K,大专,培训机构,1-3年,https://www.zhipin.com/gongsi/5a0f5294fef27a1b0XZ82Nu-EQ~~.html
网络安全研发,郑州·金水区·龙子湖校区,中科大数据研究院,8-13K·14薪,本科,计算机软件,经验不限,https://www.zhipin.com/gongsi/15f14f615832ff001nx73d65FlA~.html
Python研发工程师,郑州·中原区·五龙口,Each+,10-15K·13薪,本科,互联网,1-3年,https://www.zhipin.com/gongsi/95d57756f47f286233d529u7.html
Python高级软件工程师,郑州·金水区·紫荆山,智河,8-13K,本科,企业服务,1-3年,https://www.zhipin.com/gongsi/d54616c0e296d0190HR-2t20FA~~.html
Python研发工程师,郑州·金水区·CBD,安兔兔,7-12K,大专,移动互联网,1-3年,https://www.zhipin.com/gongsi/b50b38abec6cd3641nN439y5ElM~.html
Python工程师,郑州·金水区·龙子湖校区,煜祺网络,7-9K,大专,企业服务,3-5年,https://www.zhipin.com/gongsi/ee661df8ecae2fde03Z_3N-0Eg~~.html
Python,郑州·金水区·CBD,国信投资,5-10K,本科,互联网金融,经验不限,https://www.zhipin.com/gongsi/532325ba3fe91df533Ry3NS6.html
Python爬虫工程师3名,郑州·管城回族区·郑州东站,快盾科技,4-9K,大专,互联网,经验不限,https://www.zhipin.com/gongsi/853a6867ce22624d1nNz2NW6FVc~.html
机器人抓取研发实习生,郑州·金水区·龙子湖校区,中原动力,130-180元/天,本科,智能硬件,5天/周6个月,https://www.zhipin.com/gongsi/326f4da66313ae7e0HZ63NS1FQ~~.html
小程序开发,郑州·金水区·经五路,新食尚,6-10K,本科,互联网,3-5年,https://www.zhipin.com/gongsi/6056ba6dc1b0efbe1nN929-_ElU~.html
Python少儿编程讲师,郑州,码动科技,5-8K,本科,培训机构,1-3年,https://www.zhipin.com/gongsi/98a9ab5ea6f0ba3a03R_0tq5EA~~.html
Python研发工程师,郑州·中原区·高新区,蓝蝶科技,10-15K,本科,计算机软件,3-5年,https://www.zhipin.com/gongsi/a7b7c68fa759d6de0XZ_29m7Ew~~.html
Python爬虫开发工程师,郑州·中原区·锦艺城,星空媒体,6-8K,大专,广告/公关/会展,1-3年,https://www.zhipin.com/gongsi/074b3a313a6333e71X1809q5EQ~~.html
月7000诚聘少儿编程老师（scratch+Python）,郑州·金水区·国贸360,杭州小米智课,4-9K,大专,培训机构,经验不限,https://www.zhipin.com/gongsi/c660ecf7ee4b9e3633J63N28EA~~.html
Python,郑州·金水区·国基路,木云电子,6-8K,本科,计算机软件,1-3年,https://www.zhipin.com/gongsi/f4e33a0c32cd67ee1nB42NW9Fg~~.html
Python开发工程师,郑州·中原区·锦艺城,光年传播,6-7K,本科,广告/公关/会展,1-3年,https://www.zhipin.com/gongsi/02316a873cc066c833B90t2-GA~~.html
python中级开发,郑州·中原区·高新区,迪维勒普科技,8-13K·13薪,本科,通信/网络设备,3-5年,https://www.zhipin.com/gongsi/f794996518f0d90a1XB-2d--Eg~~.html
Python工程师,郑州·管城回族区·经开区,埃文科技,7-12K·13薪,本科,计算机软件,1-3年,https://www.zhipin.com/gongsi/1ccaa35b28775f381Hxz2Nm_EQ~~.html
Python开发人员,郑州·金水区·龙子湖,三融,6-7K,本科,计算机软件,1-3年,https://www.zhipin.com/gongsi/6da4534c4d1a80241nN_0ty7GA~~.html
高级Python软件开发工程师,郑州·中原区·五龙口,象信传媒,8-10K,大专,文化/体育/娱乐,1-3年,https://www.zhipin.com/gongsi/c2aa7811e7d957051nB53dW8GVM~.html
python实施开发工程师,郑州·金水区·经三路沿线,河南日盛,4-9K,大专,计算机硬件,1-3年,https://www.zhipin.com/gongsi/1dddacb45268fa891XF-3dy9Fw~~.html
Python老师,郑州,河南迅捷,5-10K,大专,互联网,经验不限,https://www.zhipin.com/gongsi/4fb5b44f3d8b045b0nx73d21EQ~~.html
Python后端开发工程师,郑州,河南地质物测,6-8K,本科,矿产/地质,1-3年,https://www.zhipin.com/gongsi/037ee29cb3445c0c0nJy2ti0Fg~~.html
Python,郑州·中原区·新郑大,诺云,4-6K,本科,互联网,1年以内,https://www.zhipin.com/gongsi/d2c22be0c869b4650HB-2d26Fw~~.html
python开发工程师,郑州·金水区·龙子湖校区,云网科技,8-10K,大专,移动互联网,1-3年,https://www.zhipin.com/gongsi/db6d6eed24e65e8f1nB53Nq0Elc~.html
python后端工程师,郑州·中原区·高新区,河南天祺,7-12K·13薪,大专,信息安全,1-3年,https://www.zhipin.com/gongsi/0db7bdd76b6076781nV70t2-EVY~.html
Python,郑州·中原区·高新区,乐而知教育,4-8K,本科,在线教育,3-5年,https://www.zhipin.com/gongsi/8e4177177b89344d33J-3N29.html
Python开发工程师,郑州·管城回族区·未来路,联畅通信科技,4-8K,本科,通信/网络设备,1-3年,https://www.zhipin.com/gongsi/3d26e543341db6211nV72tq5Elo~.html
python开发工程师,郑州·中原区·五龙口,中云微迅,8-10K,大专,互联网,1-3年,https://www.zhipin.com/gongsi/d4cae2d8bf8abbb71nV73t21Fg~~.html
python后端工程师,郑州·中原区·高新区,沃恩特仪器,8-13K,大专,仪器仪表/工业自动化,1-3年,https://www.zhipin.com/gongsi/aea38e338a5c7e661nV439q9F1U~.html
Python,郑州·金水区·凤凰城,拾壹人,11-12K·15薪,本科,广告/公关/会展,1-3年,https://www.zhipin.com/gongsi/06d2f6d59298dfae0Xd50tq8Eg~~.html
爬虫工程师数据分析,郑州·二七区·汝河路,海纳电商,6-8K,大专,电子商务,1-3年,https://www.zhipin.com/gongsi/6b16c364541a01561nBy2dS9EQ~~.html
python web软件开发,郑州·中原区·高新区,核桃科技,4-6K,本科,计算机软件,1-3年,https://www.zhipin.com/gongsi/8c9de1c5211043a21nZ63dm5EA~~.html
高级Python软件开发工程师,郑州·中原区·五龙口,郑州爱枇杷,8-10K,大专,电子商务,1-3年,https://www.zhipin.com/gongsi/0a830174ebcf50fc03N93Ny4GQ~~.html
Python工程师,郑州,阿呆猫数字科技,8-12K·13薪,本科,广告营销,3-5年,https://www.zhipin.com/gongsi/87edc39ee2f53c9d1nF829S9FlU~.html
Python程序员,郑州·金水区·龙子湖校区,金和基金,10-15K,大专,基金,经验不限,https://www.zhipin.com/gongsi/76b73fc9bf47f4e41nZ62dW-FVE~.html
python教师,郑州·管城回族区·南关,郑当代教育,6-8K,本科,培训机构,1-3年,https://www.zhipin.com/gongsi/d82f1de5ed1ee5e71Xx629W7Fg~~.html
软件开发实习,郑州·中原区·华强城市广场,讯鸟科技,10-20元/天,本科,计算机软件,5天/周6个月,https://www.zhipin.com/gongsi/ff78ddaa17c4c9141nN-0964FlU~.html
Python開發工程師,郑州·新郑市·航空港区,富士康,8-10K·13薪,本科,互联网,3-5年,https://www.zhipin.com/gongsi/9c231fb2be25afd133B82Nw~.html
爬虫工程师,郑州,杰尔思传媒,10-13K,不限,广告/公关/会展,经验不限学历,https://www.zhipin.com/gongsi/1542f9692d6efdec1nV-3d64FA~~.html
Python讲师,郑州·中原区·高新区,好谷,7-12K,大专,计算机软件,经验不限,https://www.zhipin.com/gongsi/e251dafcf851bca903xy3dm6GQ~~.html
少儿编程老师,郑州·金水区·熙地港,郑州蓓尔教育,3-8K,大专,在线教育,3-5年,https://www.zhipin.com/gongsi/7dbb7268b4393bef1Hd92tS_.html
Python,郑州·金水区·郑州东站,郑东新区芝麻开门...,6-7K,本科,计算机软件,3-5年,https://www.zhipin.com/gongsi/a8948537a670fcf21nx92t-0F1s~.html
RPA工程师--Python方向,郑州·金水区·建文新世界,中冠云企服,3-8K,本科,企业服务,在校/应届,https://www.zhipin.com/gongsi/2de4c3340f9b145c1nB7396_EFo~.html
软件工程师,郑州·中原区·凯旋门,爱科,6-10K,本科,汽车生产,经验不限,https://www.zhipin.com/gongsi/99e73e6a940998351nZ73NS9Ew~~.html
Python少儿编程讲师,郑州·金水区·国贸360,河南国腾教育集团,4-9K,大专,培训机构,1-3年,https://www.zhipin.com/gongsi/68dba4cd13a25c1a1XN72tm4Ew~~.html
Python,郑州·中原区·高新区,新蓝剑,8-15K,本科,移动互联网,3-5年,https://www.zhipin.com/gongsi/1bf255a94652f0fd1nJ52N-1Eg~~.html
Python开发工程师,郑州,原力智能,6-11K,本科,计算机软件,1-3年,https://www.zhipin.com/gongsi/8a2278cb7bcd42450nN_2tu1FQ~~.html
python开发工程师,郑州·二七区·兴华南街,北京普汇润泽,4-9K,大专,计算机软件,1-3年,https://www.zhipin.com/gongsi/31c6e9e6b962ef351nN52tS8E1Y~.html
Python开发工程师,郑州·中原区·五龙口,郑州诺信通,5-6K,大专,计算机软件,1-3年,https://www.zhipin.com/gongsi/db05e88fa1ce5fb51nB93N20GFY~.html
高级爬虫工程师,郑州·中原区·高新区,伍肆互娱,8-13K·13薪,本科,移动互联网,1-3年,https://www.zhipin.com/gongsi/2b75339069ad83c11nN52d20E1c~.html
js逆向破解工程师,郑州·中原区·高新区,爱贝网络,12-22K·16薪,不限,计算机软件,经验不限学历,https://www.zhipin.com/gongsi/589d1cec4346eea83nF_3Nm9EQ~~.html
Python开发工程师,郑州·金水区·凤凰城,河南鼎信,7-10K,本科,医疗设备/器械,5-10年,https://www.zhipin.com/gongsi/e225835eee4520fa0XR83tu0EQ~~.html
Python工程师,郑州,聚时,3-6K,本科,互联网,在校/应届,https://www.zhipin.com/gongsi/9b7b47e99483b1061HB42t-4FA~~.html
Python讲师,郑州·中原区·高新区,卡尔信息,15-20K,硕士,在线教育,1-3年,https://www.zhipin.com/gongsi/01b46975520a10cb1nR-0tq8FQ~~.html
Python工程师,郑州·二七区·京广路,郑州峰华铁信科技,8-12K,本科,计算机软件,1-3年,https://www.zhipin.com/gongsi/61701bc7c901e9c21nN82dS7EFc~.html
（有住宿）Python中级讲师,郑州·中牟县·白沙镇,郑州积云,12-15K,大专,培训机构,3-5年,https://www.zhipin.com/gongsi/208fea2223b2b9f703Z93N-1GA~~.html
云研发工程师,郑州·金水区·轻工业学院,信大网御,13-20K·13薪,本科,计算机软件,3-5年,https://www.zhipin.com/gongsi/c8e34e62538b20ee1HV42N61FQ~~.html
Python开发讲师,郑州·中原区·高新区,河南新华电脑,6-10K·13薪,大专,在线教育,经验不限,https://www.zhipin.com/gongsi/8c4ecf48f197b5fb0Hd43tS6.html
软件工程师,郑州,小蓝卫士,10-15K,本科,计算机服务,3-5年,https://www.zhipin.com/gongsi/ffb4a1bf6dfa2d691nRz3tW5EFc~.html
Python 负责人 少儿编程讲师,郑州·管城回族区·经开区,米德少儿编程,6-7K,大专,培训机构,1-3年,https://www.zhipin.com/gongsi/6f5435e833c8adf70nV62dm6EQ~~.html
Python,郑州·二七区·丹尼斯·大卫城,肆星,10-11K,本科,互联网,经验不限,https://www.zhipin.com/gongsi/156ecb23b10788f20nd73NW1FQ~~.html
python工程师,郑州·金水区·龙子湖校区,河南科润,7-10K,本科,计算机软件,1-3年,https://www.zhipin.com/gongsi/9efbad0df3f06d6d3nV60tS0FA~~.html
201004-Python开发工程师,郑州·中原区·高新区,英集动力/viheating,8-13K·14薪,本科,计算机软件,1-3年,https://www.zhipin.com/gongsi/1edfc22e1f51a9871Hd73dy6EQ~~.html
后端开发,郑州·金水区·花园路,德友,10-15K,本科,计算机软件,经验不限,https://www.zhipin.com/gongsi/26a7cc9fd81215d80HN509q_Eg~~.html
Python实训讲师,郑州·金水区·科技市场,百知教育,6-11K,大专,在线教育,1-3年,https://www.zhipin.com/gongsi/f28b96b4e4475c8a1XVz0t-9.html
Python,郑州·金水区·国贸360,爱怡家,4-9K,大专,医疗健康,1-3年,https://www.zhipin.com/gongsi/48527bfe57e016521Hx42t66FQ~~.html
Python,郑州·二七区·橄榄城,星之道文化,10-11K,本科,电子商务,1-3年,https://www.zhipin.com/gongsi/6def917a9db8f46333R93Ny4Eg~~.html
python专员,郑州·金水区·大石桥,纳安教育,3-8K,大专,培训机构,1-3年,https://www.zhipin.com/gongsi/19cc5185d469f9291HB_2dS7GA~~.html
Python开发工程师,郑州·金水区·龙子湖校区,科教,8-13K,大专,数据服务,3-5年,https://www.zhipin.com/gongsi/4d4fb821c24114df1nB53di5EVM~.html
全栈工程师,郑州·管城回族区·未来路,任意门信息科技,6-10K,不限,计算机软件,3-5年学历,https://www.zhipin.com/gongsi/8b77ce3691ef14331XZ53N-9GQ~~.html
